Start City,End City,Route 1,Cost 1,Time 1,Route 2,Cost 2,Time 2,Route 3,Cost 3,Time 3,Route 4,Cost 4,Time 4,Route 5,Cost 5,Time 5
Chennai,Jalpaiguri,Chennai(rail)Kushtagi(rail)Jalpaiguri,86.00,12.04,Chennai(rail)Jalpaiguri,91.00,4.85,Chennai(rail)Durg(road)Jalpaiguri,100.00,7.91,Chennai(rail)Suri(rail)Jalpaiguri,115.00,11.45,Chennai(road)Gokak(rail)Jalpaiguri,115.00,7.76
Chennai,Pakur,Chennai(road)Pakur,69.00,4.34,Chennai(rail)Medinipur(road)Pakur,99.00,5.97,Chennai(rail)Suri(road)Pakur,103.00,11.86,Chennai(rail)Delhi(rail)Pakur,107.00,6.74,Chennai(rail)Durg(road)Pakur,112.00,7.96
Chennai,Sardarshahar,Chennai(road)Sardarshahar,89.00,2.38,Chennai(rail)Medinipur(rail)Sardarshahar,102.00,9.37,Chennai(rail)Ratnagiri(road)Sardarshahar,103.00,11.36,Chennai(rail)Chatrapur(rail)Sardarshahar,113.00,12.24,Chennai(rail)Haringhata(road)Sardarshahar,127.00,8.95
Chennai,Sirohi,Chennai(rail)Suri(rail)Sirohi,110.00,8.57,Chennai(rail)Durg(rail)Sirohi,111.00,8.65,Chennai(rail)Delhi(rail)Sirohi,119.00,8.33,Chennai(rail)Sirohi,120.00,3.50,Chennai(rail)Ratnagiri(road)Sirohi,123.00,11.41
Chennai,Jaysingpur,Chennai(rail)Jaysingpur,103.00,5.13,Chennai(road)Surendranagar(rail)Jaysingpur,105.00,6.94,Chennai(road)Gokak(rail)Jaysingpur,107.00,7.35,Chennai(rail)Suri(road)Jaysingpur,109.00,9.97,Chennai(rail)Delhi(rail)Jaysingpur,113.00,8.20
Chennai,Ramanagara,Chennai(rail)Durg(rail)Ramanagara,99.00,10.48,Chennai(rail)Haringhata(rail)Ramanagara,99.00,9.53,Chennai(rail)Suri(road)Ramanagara,114.00,10.57,Chennai(rail)Ramanagara,116.00,6.91,Chennai(rail)Huliyar(road)Ramanagara,119.00,6.36
Chennai,Hyderabad,Chennai(rail)Medinipur(road)Hyderabad,98.00,8.09,Chennai(road)Hyderabad,106.00,3.06,Chennai(rail)Haringhata(rail)Hyderabad,122.00,8.85,Chennai(rail)Kollam(rail)Hyderabad,125.00,11.53,Chennai(rail)Durg(rail)Raipur(rail)Hyderabad,127.00,11.13
Chennai,Channapatna,Chennai(rail)Kushtagi(rail)Channapatna,89.00,10.77,Chennai(rail)Huliyar(rail)Channapatna,101.00,8.46,Chennai(rail)Karaikal(rail)Channapatna,111.00,9.55,N/A,N/A,N/A,N/A,N/A,N/A
Chennai,Surendranagar,Chennai(road)Surendranagar,64.00,4.08,Chennai(rail)Suri(rail)Surendranagar,88.00,11.87,Chennai(rail)Kushtagi(road)Surendranagar,97.00,7.70,Chennai(rail)Ratnagiri(rail)Surendranagar,99.00,10.43,Chennai(rail)Chatrapur(rail)Surendranagar,102.00,9.68
Chennai,Thiruvalla,Chennai(rail)Kushtagi(road)Thiruvalla,98.00,8.02,Chennai(rail)Suri(road)Thiruvalla,99.00,11.34,Chennai(road)Gokak(rail)Thiruvalla,107.00,6.62,Chennai(rail)Ranebennur(rail)Thiruvalla,117.00,11.84,Chennai(rail)Vizianagaram(rail)Thiruvalla,119.00,12.07
Chennai,Ranebennur,Chennai(rail)Ranebennur,60.00,5.64,Chennai(rail)Ratnagiri(rail)Ranebennur,85.00,12.27,Chennai(rail)Kollam(rail)Ranebennur,125.00,11.65,Chennai(rail)Alipurduar(rail)Ranebennur,126.00,8.94,Chennai(rail)Suri(rail)Orai(rail)Ranebennur,133.00,17.30
Chennai,Karaikal,Chennai(rail)Karaikal,50.00,5.37,Chennai(rail)Durg(road)Karaikal,101.00,8.64,Chennai(rail)Haringhata(road)Karaikal,107.00,8.58,Chennai(rail)Mahuva(road)Karaikal,126.00,7.29,Chennai(rail)Kushtagi(rail)Jalpaiguri(rail)Karaikal,127.00,16.19
Chennai,Belgaum,Chennai(road)Belgaum,86.00,5.97,Chennai(rail)Suri(rail)Belgaum,102.00,8.87,Chennai(rail)Ratnagiri(road)Belgaum,102.00,10.38,Chennai(rail)Medinipur(road)Belgaum,109.00,9.15,Chennai(rail)Vizianagaram(rail)Belgaum,125.00,8.94
Chennai,Chatrapur,Chennai(rail)Chatrapur,52.00,6.49,Chennai(rail)Medinipur(rail)Chatrapur,91.00,7.79,Chennai(rail)Ratnagiri(rail)Chatrapur,91.00,8.99,Chennai(rail)Suri(rail)Chatrapur,102.00,8.84,Chennai(road)Surendranagar(rail)Chatrapur,119.00,7.16
Chennai,Suri,Chennai(rail)Suri,40.00,5.87,Chennai(rail)Durg(rail)Suri,92.00,7.88,Chennai(rail)Ratnagiri(road)Suri,100.00,11.49,Chennai(rail)Karaikal(road)Suri,102.00,9.92,Chennai(rail)Huliyar(road)Suri,126.00,6.52
Chennai,Bhubaneswar,Chennai(rail)Kushtagi(rail)Bhubaneswar,92.00,8.87,Chennai(rail)Bhubaneswar,102.00,5.94,Chennai(rail)Ratnagiri(rail)Bhubaneswar,108.00,12.07,Chennai(rail)Durg(road)Bhubaneswar,111.00,9.45,Chennai(road)Pakur(rail)Bhubaneswar,126.00,8.89
Chennai,Mahuva,Chennai(rail)Mahuva,68.00,3.17,Chennai(rail)Karaikal(rail)Mahuva,95.00,9.94,Chennai(rail)Suri(rail)Mahuva,105.00,10.43,Chennai(rail)Haringhata(rail)Mahuva,105.00,10.33,Chennai(rail)Medinipur(rail)Mahuva,106.00,8.21
Chennai,Jagadhri,Chennai(road)Jagadhri,96.00,2.94,Chennai(rail)Kushtagi(rail)Jagadhri,98.00,11.13,Chennai(road)Gokak(rail)Jagadhri,103.00,6.02,Chennai(rail)Mahuva(rail)Jagadhri,112.00,6.44,Chennai(rail)Chatrapur(rail)Jagadhri,126.00,13.03
Chennai,Barh,Chennai(road)Barh,81.00,4.73,Chennai(rail)Ratnagiri(rail)Barh,92.00,12.23,Chennai(rail)Haringhata(rail)Barh,98.00,6.39,Chennai(rail)Ranebennur(rail)Barh,118.00,11.39,Chennai(rail)Durg(rail)Barh,122.00,10.57
Chennai,Bhusawal,Chennai(rail)Bhusawal,96.00,2.75,Chennai(rail)Delhi(rail)Bhusawal,107.00,9.66,Chennai(rail)Chittorgarh(rail)Bhusawal,117.00,5.15,Chennai(rail)Chatrapur(road)Bhusawal,119.00,8.63,Chennai(rail)Alipurduar(rail)Bhusawal,119.00,8.64
Chennai,Alipurduar,Chennai(rail)Alipurduar,76.00,4.22,Chennai(rail)Suri(road)Alipurduar,108.00,11.31,Chennai(rail)Huliyar(rail)Alipurduar,110.00,9.26,Chennai(rail)Karaikal(rail)Alipurduar,112.00,8.12,Chennai(rail)Medinipur(rail)Alipurduar,117.00,6.59
Chennai,Kollam,Chennai(rail)Kollam,78.00,4.85,Chennai(rail)Kushtagi(rail)Kollam,97.00,9.37,Chennai(rail)Medinipur(rail)Kollam,101.00,9.48,Chennai(road)Surendranagar(rail)Kollam,104.00,6.81,Chennai(rail)Ratnagiri(rail)Kollam,126.00,9.26
Chennai,Medinipur,Chennai(rail)Medinipur,40.00,3.68,Chennai(rail)Ratnagiri(rail)Medinipur,84.00,10.92,Chennai(rail)Durg(rail)Medinipur,86.00,7.47,Chennai(rail)Chatrapur(rail)Medinipur,99.00,12.11,Chennai(rail)Haringhata(road)Medinipur,111.00,5.99
Chennai,Patan,Chennai(rail)Ratnagiri(rail)Patan,88.00,9.46,Chennai(rail)Suri(rail)Patan,93.00,10.65,Chennai(rail)Kushtagi(rail)Patan,93.00,11.39,Chennai(rail)Chatrapur(rail)Patan,101.00,13.12,Chennai(rail)Medinipur(rail)Patan,102.00,10.36
Chennai,Mettur,Chennai(rail)Kushtagi(rail)Mettur,93.00,8.37,Chennai(rail)Karaikal(rail)Mettur,96.00,8.02,Chennai(rail)Medinipur(road)Mettur,102.00,5.76,Chennai(rail)Suri(rail)Mettur,108.00,12.35,Chennai(road)Gokak(road)Mettur,108.00,8.85
Chennai,Huliyar,Chennai(rail)Huliyar,58.00,2.63,Chennai(rail)Medinipur(rail)Huliyar,86.00,9.02,Chennai(rail)Chatrapur(rail)Huliyar,92.00,10.38,Chennai(road)Gokak(rail)Huliyar,98.00,7.39,Chennai(rail)Durg(road)Huliyar,104.00,7.25
Chennai,Harihar,Chennai(rail)Harihar,99.00,4.20,Chennai(rail)Haringhata(road)Harihar,103.00,6.81,Chennai(rail)Suri(rail)Harihar,105.00,9.20,Chennai(rail)Durg(rail)Harihar,106.00,10.66,Chennai(rail)Karaikal(rail)Harihar,111.00,8.40
Chennai,Rasayani,Chennai(rail)Rasayani,86.00,4.21,Chennai(rail)Durg(rail)Rasayani,92.00,8.58,Chennai(rail)Ratnagiri(rail)Rasayani,106.00,11.33,Chennai(rail)Huliyar(rail)Rasayani,115.00,8.12,Chennai(road)Pakur(rail)Rasayani,116.00,10.25
Chennai,Haringhata,Chennai(rail)Haringhata,46.00,3.65,Chennai(rail)Durg(road)Haringhata,97.00,10.39,Chennai(rail)Ratnagiri(rail)Haringhata,110.00,9.40,Chennai(rail)Suri(road)Haringhata,111.00,9.61,Chennai(rail)Karaikal(rail)Haringhata,125.00,10.73
Chennai,Kushtagi,Chennai(rail)Kushtagi,43.00,5.16,Chennai(rail)Ratnagiri(rail)Kushtagi,85.00,10.98,Chennai(rail)Delhi(rail)Kushtagi,114.00,6.91,Chennai(road)Pakur(rail)Kushtagi,115.00,11.00,Chennai(rail)Huliyar(rail)Kushtagi,116.00,5.40
Chennai,Jadugora,Chennai(rail)Kushtagi(rail)Jadugora,87.00,10.70,Chennai(rail)Karaikal(road)Jadugora,102.00,8.67,Chennai(rail)Haringhata(road)Jadugora,111.00,9.42,Chennai(rail)Jadugora,118.00,5.63,Chennai(road)Surendranagar(rail)Jadugora,123.00,8.08
Chennai,Orai,Chennai(rail)Suri(rail)Orai,85.00,12.61,Chennai(road)Gokak(rail)Orai,106.00,7.04,Chennai(rail)Medinipur(rail)Orai,110.00,9.64,Chennai(road)Pakur(rail)Orai,122.00,7.49,Chennai(rail)Kushtagi(road)Orai,124.00,7.70
Chennai,Surajpur,Chennai(road)Surajpur,97.00,3.32,Chennai(rail)Medinipur(road)Surajpur,99.00,7.35,Chennai(rail)Haringhata(road)Surajpur,103.00,6.23,Chennai(rail)Delhi(rail)Surajpur,112.00,8.48,Chennai(rail)Chatrapur(road)Surajpur,113.00,9.67
Chennai,Ambernath,Chennai(rail)Huliyar(road)Ambernath,113.00,7.45,Chennai(road)Pakur(rail)Ambernath,118.00,10.18,Chennai(rail)Mahuva(rail)Ambernath,121.00,9.96,Chennai(road)Gokak(rail)Ambernath,126.00,7.37,Chennai(rail)Medinipur(rail)Raipur(rail)Ambernath,126.00,16.55
Chennai,Malerkotla,Chennai(rail)Haringhata(road)Malerkotla,105.00,7.77,Chennai(road)Gokak(rail)Malerkotla,107.00,8.71,Chennai(rail)Delhi(rail)Malerkotla,110.00,8.65,Chennai(rail)Malerkotla,112.00,4.49,Chennai(rail)Mahuva(rail)Malerkotla,114.00,8.58
Chennai,Jorapokhar,Chennai(rail)Haringhata(rail)Jorapokhar,94.00,10.27,Chennai(rail)Karaikal(rail)Jorapokhar,120.00,7.97,Chennai(rail)Ratnagiri(rail)Jorapokhar,122.00,10.05,Chennai(rail)Durg(road)Jorapokhar,123.00,7.33,Chennai(road)Jorapokhar,129.00,3.85
Chennai,Vizianagaram,Chennai(rail)Vizianagaram,72.00,5.50,Chennai(rail)Durg(road)Vizianagaram,101.00,8.42,Chennai(road)Lucknow(rail)Vizianagaram,113.00,6.63,Chennai(rail)Delhi(rail)Vizianagaram,116.00,9.17,Chennai(rail)Suri(road)Vizianagaram,118.00,10.04
Chennai,Durg,Chennai(rail)Durg,44.00,4.91,Chennai(rail)Haringhata(rail)Durg,112.00,7.50,Chennai(road)Surendranagar(rail)Durg,115.00,7.97,Chennai(rail)Chatrapur(road)Durg,117.00,10.14,Chennai(rail)Kushtagi(rail)Durg,118.00,12.07
Chennai,Himmatnagar,Chennai(rail)Kushtagi(rail)Himmatnagar,96.00,8.37,Chennai(rail)Medinipur(rail)Himmatnagar,107.00,10.14,Chennai(road)Himmatnagar,114.00,2.06,Chennai(rail)Ranebennur(road)Himmatnagar,114.00,9.15,Chennai(rail)Delhi(road)Himmatnagar,121.00,6.24
Chittorgarh,Chennai,Chittorgarh(rail)Jaysingpur(rail)Chennai,114.00,8.95,Chittorgarh(road)Pakur(road)Chennai,116.00,7.47,Chittorgarh(rail)Sagar(rail)Chennai,120.00,9.71,Chittorgarh(rail)Mahuva(rail)Chennai,129.00,9.23,Chittorgarh(rail)Hyderabad(road)Chennai,129.00,5.95
Chittorgarh,Ratnagiri,Chittorgarh(rail)Ranebennur(rail)Ratnagiri,113.00,11.53,Chittorgarh(rail)Haringhata(rail)Ratnagiri,116.00,9.22,Chittorgarh(road)Sirohi(rail)Ratnagiri,116.00,10.06,Chittorgarh(rail)Hyderabad(rail)Ratnagiri,119.00,8.25,Chittorgarh(rail)Sagar(road)Ratnagiri,121.00,6.16
Chittorgarh,Goregaon,Chittorgarh(rail)Bhusawal(road)Goregaon,99.00,6.49,Chittorgarh(road)Goregaon,101.00,3.48,Chittorgarh(road)Sardarshahar(rail)Goregaon,108.00,6.94,Chittorgarh(rail)Jaysingpur(road)Goregaon,109.00,10.27,Chittorgarh(rail)Ranebennur(rail)Goregaon,111.00,13.32
Chittorgarh,Pindwara,Chittorgarh(road)Pindwara,95.00,5.48,Chittorgarh(rail)Sagar(rail)Pindwara,96.00,7.83,Chittorgarh(rail)Kushtagi(road)Pindwara,108.00,9.58,Chittorgarh(road)Durg(rail)Pindwara,114.00,7.42,Chittorgarh(rail)Harihar(rail)Pindwara,122.00,9.88
Chittorgarh,Raipur,Chittorgarh(rail)Bhusawal(road)Raipur,99.00,6.98,Chittorgarh(road)Durg(rail)Raipur,110.00,7.15,Chittorgarh(road)Sardarshahar(road)Raipur,116.00,9.10,Chittorgarh(road)Sirohi(rail)Raipur,117.00,11.63,Chittorgarh(road)Pakur(road)Raipur,118.00,11.22
Chittorgarh,Gokak,Chittorgarh(rail)Sagar(rail)Gokak,82.00,9.37,Chittorgarh(rail)Haringhata(rail)Gokak,97.00,10.02,Chittorgarh(rail)Bhusawal(road)Gokak,106.00,8.22,Chittorgarh(rail)Kushtagi(rail)Gokak,114.00,12.30,Chittorgarh(rail)Ranebennur(road)Gokak,118.00,10.82
Chittorgarh,Lucknow,Chittorgarh(rail)Lucknow,91.00,5.60,Chittorgarh(rail)Kushtagi(road)Lucknow,114.00,9.25,Chittorgarh(rail)Medinipur(rail)Lucknow,117.00,10.87,Chittorgarh(rail)Bhusawal(road)Lucknow,120.00,8.05,Chittorgarh(rail)Huliyar(road)Lucknow,125.00,8.23
Chittorgarh,Delhi,Chittorgarh(rail)Kushtagi(rail)Delhi,96.00,9.95,Chittorgarh(road)Delhi,103.00,5.27,Chittorgarh(rail)Karaikal(rail)Delhi,119.00,11.87,Chittorgarh(rail)Medinipur(rail)Delhi,119.00,11.07,Chittorgarh(rail)Sagar(road)Delhi,123.00,5.12
Chittorgarh,Mumbai,Chittorgarh(rail)Jaysingpur(rail)Mumbai,86.00,10.96,Chittorgarh(rail)Sagar(rail)Mumbai,88.00,5.88,Chittorgarh(rail)Haringhata(rail)Mumbai,109.00,11.01,Chittorgarh(rail)Ranebennur(road)Mumbai,117.00,10.99,Chittorgarh(rail)Bhusawal(road)Mumbai,122.00,5.89
Chittorgarh,Sagar,Chittorgarh(rail)Sagar,41.00,3.02,Chittorgarh(rail)Kushtagi(road)Sagar,95.00,9.07,Chittorgarh(road)Pakur(road)Sagar,113.00,10.35,Chittorgarh(rail)Jaysingpur(rail)Sagar,127.00,7.21,Chittorgarh(rail)Jadugora(rail)Sagar,130.00,10.34
Chittorgarh,Jalpaiguri,Chittorgarh(rail)Kushtagi(rail)Jalpaiguri,87.00,12.40,Chittorgarh(rail)Bhusawal(road)Jalpaiguri,92.00,4.81,Chittorgarh(rail)Sagar(road)Jalpaiguri,109.00,5.32,Chittorgarh(rail)Jalpaiguri,121.00,2.87,Chittorgarh(rail)Jaysingpur(rail)Jalpaiguri,122.00,8.05
Chittorgarh,Pakur,Chittorgarh(road)Pakur,62.00,5.23,Chittorgarh(road)Sirohi(rail)Pakur,122.00,8.41,Chittorgarh(rail)Medinipur(road)Pakur,134.00,8.84,Chittorgarh(rail)Hyderabad(rail)Pakur,135.00,6.06,Chittorgarh(rail)Kushtagi(rail)Delhi(rail)Pakur,136.00,13.10
Chittorgarh,Sardarshahar,Chittorgarh(road)Sardarshahar,61.00,4.40,Chittorgarh(rail)Sagar(rail)Sardarshahar,108.00,9.78,Chittorgarh(road)Pakur(rail)Sardarshahar,129.00,9.86,Chittorgarh(rail)Kushtagi(road)Sardarshahar,136.00,9.14,Chittorgarh(rail)Medinipur(rail)Sardarshahar,137.00,12.24
Chittorgarh,Sirohi,Chittorgarh(road)Sirohi,65.00,5.60,Chittorgarh(road)Sardarshahar(road)Sirohi,118.00,8.70,Chittorgarh(rail)Sagar(road)Sirohi,132.00,7.85,Chittorgarh(rail)Bhusawal(road)Sirohi,135.00,6.79,Chittorgarh(road)Durg(rail)Sirohi,136.00,7.36
Chittorgarh,Jaysingpur,Chittorgarh(rail)Jaysingpur,44.00,4.45,Chittorgarh(rail)Mahuva(road)Jaysingpur,122.00,7.08,Chittorgarh(rail)Hyderabad(rail)Jaysingpur,124.00,7.09,Chittorgarh(rail)Sagar(road)Jaysingpur,126.00,6.41,Chittorgarh(road)Sardarshahar(road)Jaysingpur,126.00,8.37
Chittorgarh,Ramanagara,Chittorgarh(rail)Ramanagara,71.00,6.01,Chittorgarh(rail)Haringhata(rail)Ramanagara,110.00,11.13,Chittorgarh(road)Durg(rail)Ramanagara,124.00,9.19,Chittorgarh(rail)Rasayani(rail)Ramanagara,126.00,8.93,Chittorgarh(rail)Mahuva(road)Ramanagara,130.00,5.18
Chittorgarh,Hyderabad,Chittorgarh(rail)Hyderabad,78.00,3.17,Chittorgarh(rail)Jaysingpur(rail)Hyderabad,98.00,11.08,Chittorgarh(rail)Bhusawal(road)Hyderabad,121.00,4.65,Chittorgarh(road)Surajpur(rail)Hyderabad,123.00,5.34,Chittorgarh(rail)Mahuva(rail)Hyderabad,132.00,6.58
Chittorgarh,Channapatna,Chittorgarh(rail)Kushtagi(rail)Channapatna,90.00,11.13,Chittorgarh(road)Pakur(rail)Channapatna,112.00,9.71,Chittorgarh(rail)Huliyar(rail)Channapatna,115.00,11.55,Chittorgarh(rail)Sagar(road)Channapatna,117.00,5.65,Chittorgarh(rail)Bhusawal(road)Channapatna,122.00,7.26
Chittorgarh,Surendranagar,Chittorgarh(rail)Bhusawal(rail)Surendranagar,85.00,5.29,Chittorgarh(rail)Kushtagi(road)Surendranagar,98.00,8.06,Chittorgarh(rail)Harihar(rail)Surendranagar,108.00,9.02,Chittorgarh(road)Surendranagar,110.00,4.49,Chittorgarh(road)Pakur(rail)Surendranagar,115.00,11.00
Chittorgarh,Thiruvalla,Chittorgarh(rail)Bhusawal(rail)Thiruvalla,90.00,7.51,Chittorgarh(rail)Kushtagi(road)Thiruvalla,99.00,8.38,Chittorgarh(rail)Sagar(rail)Thiruvalla,110.00,7.91,Chittorgarh(rail)Harihar(road)Thiruvalla,118.00,8.61,Chittorgarh(rail)Ranebennur(rail)Thiruvalla,122.00,13.18
Chittorgarh,Ranebennur,Chittorgarh(rail)Ranebennur,65.00,6.98,Chittorgarh(rail)Jaysingpur(rail)Ranebennur,110.00,11.08,Chittorgarh(rail)Ambernath(rail)Ranebennur,131.00,11.99,Chittorgarh(road)Pakur(road)Ranebennur,134.00,8.97,Chittorgarh(road)Sirohi(rail)Ranebennur,134.00,10.03
Chittorgarh,Karaikal,Chittorgarh(rail)Karaikal,72.00,6.90,Chittorgarh(rail)Jaysingpur(road)Karaikal,96.00,10.42,Chittorgarh(rail)Bhusawal(road)Karaikal,104.00,4.53,Chittorgarh(rail)Haringhata(road)Karaikal,118.00,10.18,Chittorgarh(road)Surajpur(rail)Karaikal,124.00,7.29
Chittorgarh,Belgaum,Chittorgarh(road)Belgaum,112.00,2.27,Chittorgarh(road)Sirohi(road)Belgaum,120.00,9.74,Chittorgarh(rail)Sagar(rail)Belgaum,122.00,5.85,Chittorgarh(road)Sardarshahar(rail)Belgaum,132.00,7.97,Chittorgarh(rail)Vizianagaram(rail)Belgaum,141.00,6.49
Chittorgarh,Chatrapur,Chittorgarh(rail)Mahuva(rail)Chatrapur,122.00,6.53,Chittorgarh(rail)Medinipur(rail)Chatrapur,126.00,10.66,Chittorgarh(rail)Jaysingpur(road)Chatrapur,130.00,7.54,Chittorgarh(road)Sirohi(road)Chatrapur,130.00,9.89,Chittorgarh(rail)Bhusawal(rail)Surendranagar(rail)Chatrapur,140.00,8.37
Chittorgarh,Suri,Chittorgarh(rail)Bhusawal(rail)Suri,87.00,9.07,Chittorgarh(rail)Sagar(rail)Suri,91.00,7.68,Chittorgarh(rail)Suri,114.00,2.73,Chittorgarh(road)Durg(rail)Suri,117.00,6.59,Chittorgarh(rail)Karaikal(road)Suri,124.00,11.45
Chittorgarh,Bhubaneswar,Chittorgarh(rail)Bhusawal(rail)Bhubaneswar,90.00,6.44,Chittorgarh(rail)Kushtagi(rail)Bhubaneswar,93.00,9.23,Chittorgarh(rail)Bhubaneswar,99.00,5.69,Chittorgarh(road)Surajpur(rail)Bhubaneswar,116.00,7.43,Chittorgarh(road)Pakur(rail)Bhubaneswar,119.00,9.78
Chittorgarh,Mahuva,Chittorgarh(rail)Mahuva,70.00,2.51,Chittorgarh(rail)Haringhata(rail)Mahuva,116.00,11.93,Chittorgarh(rail)Karaikal(rail)Mahuva,117.00,11.47,Chittorgarh(road)Surajpur(rail)Mahuva,117.00,9.71,Chittorgarh(rail)Hyderabad(rail)Mahuva,120.00,8.21
Chittorgarh,Jagadhri,Chittorgarh(rail)Kushtagi(rail)Jagadhri,99.00,11.49,Chittorgarh(rail)Mahuva(rail)Jagadhri,114.00,5.78,Chittorgarh(road)Sirohi(rail)Jagadhri,123.00,10.89,Chittorgarh(rail)Ambernath(rail)Jagadhri,125.00,12.07,Chittorgarh(road)Surajpur(rail)Jagadhri,126.00,7.32
Chittorgarh,Barh,Chittorgarh(rail)Haringhata(rail)Barh,109.00,7.99,Chittorgarh(rail)Ranebennur(rail)Barh,123.00,12.73,Chittorgarh(rail)Sagar(road)Barh,127.00,8.56,Chittorgarh(road)Barh,132.00,5.74,Chittorgarh(rail)Hyderabad(rail)Barh,132.00,8.02
Chittorgarh,Bhusawal,Chittorgarh(rail)Bhusawal,42.00,2.51,Chittorgarh(road)Sirohi(road)Bhusawal,125.00,10.66,Chittorgarh(rail)Mahuva(rail)Bhusawal,129.00,5.29,Chittorgarh(rail)Kushtagi(rail)Bhubaneswar(rail)Bhusawal,133.00,14.09,Chittorgarh(rail)Hyderabad(rail)Bhusawal,134.00,7.98
Chittorgarh,Alipurduar,Chittorgarh(rail)Sagar(road)Alipurduar,106.00,6.53,Chittorgarh(road)Sirohi(rail)Alipurduar,107.00,8.53,Chittorgarh(rail)Harihar(rail)Alipurduar,107.00,8.14,Chittorgarh(rail)Alipurduar,110.00,4.87,Chittorgarh(rail)Huliyar(rail)Alipurduar,124.00,12.35
Chittorgarh,Kollam,Chittorgarh(road)Kollam,94.00,3.96,Chittorgarh(rail)Kushtagi(rail)Kollam,98.00,9.73,Chittorgarh(rail)Bhusawal(rail)Kollam,109.00,8.19,Chittorgarh(road)Pakur(rail)Kollam,122.00,11.34,Chittorgarh(road)Sirohi(road)Kollam,126.00,7.81
Chittorgarh,Medinipur,Chittorgarh(rail)Medinipur,75.00,6.55,Chittorgarh(road)Durg(rail)Medinipur,111.00,6.18,Chittorgarh(rail)Haringhata(road)Medinipur,122.00,7.59,Chittorgarh(rail)Ramanagara(rail)Medinipur,124.00,10.73,Chittorgarh(rail)Mahuva(road)Medinipur,125.00,5.52
Chittorgarh,Patan,Chittorgarh(rail)Kushtagi(rail)Patan,94.00,11.75,Chittorgarh(rail)Patan,97.00,3.59,Chittorgarh(road)Sirohi(rail)Patan,109.00,10.15,Chittorgarh(rail)Harihar(rail)Patan,110.00,9.63,Chittorgarh(rail)Ranebennur(rail)Patan,111.00,9.78
